Title,Speaker,File,Event,Date,Type,Category,Video,Podcast,Web,Description,TalkID,HeySummit
Implementing Informed Consent with Knowledge Graphs,Anelia Kurteva,/Transcripts/Connected Data World 2021/Presentations/Implementing Informed Consent with Knowledge Graphs _ Anelia Kurteva _ Connected Data World 2021.srt,Connected Data World 2021,03/12/2021,Presentation,Knowledge Graphs,https://www.youtube.com/watch?v=Jeck1Rj65i8,,https://2021.connecteddataworld.com/talks/implementing-informed-consent-with-knowledge-graphs/,"The GDPR legislation has brought to light one’s rights and has highlighted the importance of consent, which has caused a major shift in how data processing and sharing are handled.

Data sharing has been a popular research topic for many years, however, a unified solution for the transparent implementation of consent, in compliance with GDPR that could be used as a standard, has not been presented yet.

In this talk I will present my research, which proposes a solution for implementing informed consent for sensor data sharing in compliance with GDPR with semantic technology, namely knowledge graphs.

The main objectives are to model the life cycle of informed consent (i.e. the request, comprehension, decision and use of consent) with knowledge graphs so that it is easily interpretable by machines, and to graphically visualise it to individuals in order to raise legal awareness of what it means to consent and the implications that follow.

The talk is suitable for both academia researchers and industry professionals.",t-f226cc58,262033
Introducing D3FEND: A Knowledge Graph of Cybersecurity Countermeasures,Peter Kaloroumakis,/Transcripts/Connected Data World 2021/Presentations/Introducing D3FEND_ A Knowledge Graph of Cybersecurity Countermeasures _ Peter Kaloroumakis _ CDW21.srt,Connected Data World 2021,03/12/2021,Presentation,Knowledge Graphs,https://www.youtube.com/watch?v=JQCO07KASP0,,https://2021.connecteddataworld.com/talks/introducing-d3fend-a-knowledge-graph-of-cybersecurity-countermeasures/,"Cybersecurity architects are using D3FEND to describe specific technical functions within cyber technologies in a common language of countermeasure techniques. A research project funded by the National Security Agency, D3FEND provides a large collection of digital artifacts to model cyber systems and related countermeasures.

This creates a foundation for automated reasoning about the complex interplay between computer network architectures, threats, and cyber countermeasures. Our is goal to make it easier for architects to understand how countermeasures work, so that they can more effectively design, deploy, and ultimately better defend networked systems.

D3FEND is a framework which provides a countermeasure knowledge base, but more specifically, a knowledge graph. The graph contains semantically rigorous types and relations that define both the key concepts in the cybersecurity countermeasure domain and the relations necessary to link those concepts to each other.

We ground each of the concepts and relations to particular references in the cybersecurity literature. Numerous sources of research and development literature were analyzed, including a targeted sample of over 500 countermeasure patents drawn from the U.S. Patent Office corpus. The graph supports queries that can inferentially map architectural elements to both cybersecurity countermeasures and offensive TTPs.",t-a81054f0,261060
Graph Analytics vs Graph Machine Learning,Jörg Schad,/Transcripts/Connected Data World 2021/Presentations/Jörg Schad - Graph Analytics vs Graph Machine Learning _ CDW21 Presentation.srt,Connected Data World 2021,03/12/2021,Presentation,Graph AI, https://www.youtube.com/watch?v=GCpN9m2mQDE,https://pod.co/the-connected-data-podcast/graph-analytics-vs-graph-machine-learning-jrg-schad,https://2021.connecteddataworld.com/talks/graph-analytics-vs-graph-ml/,"Graph Analytics has long demonstrated that it solves real-world problems including Fraud, Ranking, Recommendation, text summarization and other NLP tasks.

More recently, Graph Machine Learning applied directly on graphs using graph algorithms and machine learning, has been demonstrating significant advantages in solving the same problems as graph analytics as well as problems that are impractical to solve using graph analytics.  Graph Machine Learning does this by training statistical models on the graph  resulting in Graph Embeddings and Graph Neural Networks that are used to complex problems in a different way.

In this talk, we will compare and contrast these two approaches (spoiler: often complexity vs precision) in real-world scenarios. What factors should you consider when choosing one over the other and when do you even have a choice?
Join this talk to learn about exciting new developments in Graph ML, as the  graph techniques on which they are based.",t-5c4bcd15,254939
"Knowledge Graphs, Graph AI, & the Need for High performance Graph Computing",Keshav Pingali,"/Transcripts/Connected Data World 2021/Presentations/Keshav Pingali - Knowledge Graphs, Graph AI, & the Need for High-performance Graph Computing _ CDW21.srt",Connected Data World 2021,03/12/2021,Presentation,Graph AI,https://www.youtube.com/watch?v=q5DDKKx15so,,https://2021.connecteddataworld.com/talks/knowledge-graphs-graph-ai-and-the-need-for-high-performance-graph-computing/,"Learn how to extract actionable insights from massive datasets using a Graph Intelligence Platform.

- The need for Graph Intelligence
- The next era of graph computing
- Platform overview
- Use cases in Life Sciences, Financial Services, and Information Security
- Benchmarks and proof points",t-966508ee,264597
Knowledge Graphs: Moving Beyond RDF,Kurt Cagle,/Transcripts/Connected Data World 2021/Presentations/Knowledge Graphs_ Moving Beyond RDF _ Kurt Cagle _ Connected Data World 2021 Presentation.srt,Connected Data World 2021,03/12/2021,Presentation,Knowledge Graphs,https://www.youtube.com/watch?v=lBvnxItuou4,,https://2021.connecteddataworld.com/talks/knowledge-graphs-moving-beyond-rdf/,"The Semantic Web is twenty years old, and like many twenty-year-old technologies, many of the original concepts that drove the technology have become increasingly outdated even as the need for a compelling graph technology story has only become greater.

Several technologies have arisen in the last few years, including JSON, machine learning systems, GraphQL, Lambdas, and others.

What's more, the first generation semantic web has struggled to assert itself while dealing with problems such as the failure of adoption of complex ontologies, data science workflows that have largely bypassed RDF as a mechanism for expressing rich data structures, slow adoption of even foundational technologies such as Property Graphs, RDF-Star, SHACL, or JSON-LD.

The focus of this talk is to explore the emergence of second-generation knowledge graphs, utilizing GraphQL as a means to abstract out data models and construct both set and hierarchical structures in a manner that makes sense to the data science, machine-learning, and web communities.

Additionally, such tools make mutational processing independent of platform, and even, utilizing such abstractions, make it possible to create truly functional and dynamic properties in the space.

This author hopes to explore how GraphQL and related paradigms (DIDs, machine learning models, web component frameworks, distributed ledgers and hyperstatial systems) all will impact the future of the knowledge graph over the course of the next decade and beyond.",t-336f4f2e,262034
Legal Knowledge Graphs,Vaishali Raghvani,/Transcripts/Connected Data World 2021/Presentations/Legal Knowledge Graphs _ Vaishali Raghvani _ Connected Data World.srt,Connected Data World 2021,03/12/2021,Presentation,Knowledge Graphs,https://www.youtube.com/watch?v=CN0HGTxXXKI,,https://2021.connecteddataworld.com/talks/legal-knowledge-graphs/,"Creating and negotiating legal documents and contracts usually requires legal expertise which can be prohibitively expensive for small businesses and unlawyered individuals.

Accessing what’s in a contract and knowing which contracts have been signed is complicated because of the traditional text/pdf structure of documents.

Legislate is helping bring structure to documents thanks to knowledge graph technology. Legislate is also improving the visual representation of contracts with knowledge graphs to allow non-lawyers to better understand their rights and obligations as well as other implicit information which can be derived from contract data using reasoning.

Legislate is used by small businesses, landlords, letting agents and individuals who can’t justify the cost of using a lawyer to create and negotiate contracts. Small businesses use Legislate to create and manage employment documents and non-disclosure agreements. Property businesses use Legislate to create and manage tenancy related documents.

Legislate uses knowledge graphs to model contracts and legal expertise as rules to empower non-lawyers to create lawyer-approved contracts by themselves. Using a knowledge graph to model contracts unlocks additional benefits for managing documents at any point in their lifecycle.

By knowing exactly what terms are in a contract and where they are, Legislate contracts are highly searchable, know how they connect with each other and can aggregate statistics which would otherwise need to be manually extracted and calculated in a legacy spreadsheet.

Legislate’s knowledge graph contract metrics give deeper insight into a portfolio of a landlord or a small business owner.

For example a property owner can see how much rent they are earning each year from all their properties as well as the distribution for their properties and corresponding rental prices. Employers can better understand their real time payroll across employees, interns and consultants.",t-b44a5553,262038
Leveraging Graphcore’s IPU architecture for large scale GNN compute,Carlo Luschi,/Transcripts/Connected Data World 2021/Presentations/Leveraging Graphcore’s IPU architecture for large scale GNN compute _ Carlo Luschi _ Connected Data.srt,Connected Data World 2021,03/12/2021,Presentation,Graph AI,https://www.youtube.com/watch?v=WTkC6hJgJRM,,https://2021.connecteddataworld.com/talks/leveraging-graphcores-ipu-architecture-for-large-scale-gnn-compute/,"Machine Learning on large scale graphs presents several unique challenges, due to the sparsity of the connections. Exact computation is often intractable on current accelerators, and algorithmic approximations fall short of modelling interesting aspects like long range dependencies effectively.

We present how Graphcore’s IPU design tackles these challenges, creating the opportunity to accelerate deep GNNs on large graphs. This talk aims at stimulating Data Scientists, Machine Learning Researchers and Engineers to think about different ways to deploy current large scale GNNs and to develop algorithms that exploit the full potential of our new hardware architecture.",t-0415c386,261322
Taxonomies: Connecting Data with Duct Tape,Mike Dillinger,/Transcripts/Connected Data World 2021/Presentations/Mike Dillinger - Taxonomies_ Connecting Data with Duct Tape _ CDW21 Presentation.srt,Connected Data World 2021,03/12/2021,Presentation,Semantic Technology,https://www.youtube.com/watch?v=gvoU75vHPQI,https://pod.co/the-connected-data-podcast/taxonomies-connecting-data-with-duct-tape-mike-dillinger,https://2021.connecteddataworld.com/talks/mike-dillinger-taxonomies-connecting-data-with-duct-tape/,"Taxonomies are the duct tape of connected data. They seem simple, flexible, and familiar. They are widely used. And they seem to work across many use cases and many domains.

But when looked at in more detail, taxonomies turn out to be crude tools for knowledge organization that are very difficult to create, to scale, to adapt, to align, and to build on.

They don't work well for larger or more complex domains and use cases. Experienced talent and flexible tools for creating them are hard to find and to develop. Often taxonomies are built then abandoned for other, more robust approaches to knowledge organization.

It is essential to re-evaluate your connected data strategies in the context of alternative approaches to knowledge organization.",t-18eae410,261612
UBS Helix Knowledge Graph: The Power of Information,Natasa Varytimou,/Transcripts/Connected Data World 2021/Presentations/Natasa+recording.srt,Connected Data World 2021,03/12/2021,Presentation,Knowledge Graphs,https://www.youtube.com/watch?v=cod2Al7ooZs,,https://2021.connecteddataworld.com/talks/natasa-varytimou-ubs-helix-knowledge-graph-the-power-of-information/,"UBS Helix Knowledge Graph was created to unify and streamline the information about our technical estate to maximize the impact of our technology spend :

- Break the silos of our applications
- Reduce redundancies and duplications in the structure and vocabulary of our applications
- Enable a 360o view of technical assets.
- Reduce complexity and eradicate undocumented data definitions
- Make it easier to rapidly answer questions about our technical estate
Enable a 360o view of technical assets.

Reduce complexity and eradicate undocumented data definitions

Make it easier to rapidly answer questions about our technical estate

Helix provides Business, IT Managers and every single user of data, the power of knowledge by answering questions common not only in a financial institution but in every organization that has an IT Department:

- How many application do I have?
- What infrastructure do they leverage?
- Where do I have Technical Debt and how can I reduce it;
- Where do I invest my money?
- What does an application cost me?
- For which business capability am I spending the most dollars/have the most opportunity for consolidation?
- Where am I spending too much money on applications I should be decommissioning?
- What data do each of my system has and how does it flow?
How many application do I have?

What infrastructure do they leverage?

Where do I have Technical Debt and how can I reduce it;

Where do I invest my money?

What does an application cost me?

For which business capability am I spending the most dollars/have the most opportunity for consolidation?

Where am I spending too much money on applications I should be decommissioning?

What data do each of my system has and how does it flow?

Helix is based on open and standard technologies and model-driven architecture.

Provides an open framework for data publishers to integrate with Helix and also unlimited possibilities for users to create their own search for information in an intuitive and web-like manner.

No more spreadsheets, no more predefined APIs and reports that need programmatical effort.

UBS Helix Knowledge Graph is the new generation and the technical landscape is only the beginning.",t-69996db8,246972
The Enterprise Knowledge Graph,Omar Khan and David Newman,/Transcripts/Connected Data World 2021/Presentations/Omar Khan and David Newman - The Enterprise Knowledge Graph _ CDW21 Presentation.srt,Connected Data World 2021,03/12/2021,Presentation,Knowledge Graphs,https://www.youtube.com/watch?v=fNz_aWgtIuA,,https://2021.connecteddataworld.com/talks/the-enterprise-knowledge-graph/,"In this talk we’ll canvas the Enterprise Knowledge Graph, and how you can apply it using its cornerstones of:

- Foundational building blocks
- Information model expressivity
- Machine understandable representations
- Transcending the relational model
- How an EKG expands on a graph and a knowledge graph
- Provides an infrastructure for Machine Learning
- Contrasting an unlinked with linked data environment
- Question and answering model emergence
- Semantic similarity & embedding
- Focused UI",t-21c6c2c4,264346
Graph Abstractions Matter,Ora Lassila,/Transcripts/Connected Data World 2021/Presentations/Ora Lassila - Graph Abstractions Matter _ CDW21 Presentations.srt,Connected Data World 2021,03/12/2021,Presentation,Semantic Technology,https://www.youtube.com/watch?v=-3fRKaz94WI,https://pod.co/the-connected-data-podcast/graph-abstractions-matter-ora-lassila,https://2021.connecteddataworld.com/talks/graph-abstractions-matter/,"While mathematicians have used graph theory since the 18th century to solve problems, the software patterns for graph data are new to most developers. To enable ""mass adoption"" of graph technology, we need to establish the right abstractions, access APIs, and data models.

RDF triples, while of paramount importance in establishing RDF graph semantics, are a low-level abstraction, much like using assembly language. For practical and productive “graph programming” we need something different.

Similarly, existing declarative graph query languages (such as SPARQL and Cypher) are not always the best way to access graph data, and sometimes you need a simpler interface (e.g., GraphQL), or even a different approach altogether (e.g., imperative traversals such as with Gremlin).

Furthermore, the nascent graph database industry has not been able to settle on a single graph model: Developers are forced to choose between RDF, a standard that offers broad interoperability, and Labeled Property Graphs (LPG), which offer an object model-like abstraction but lack interoperability.

We present ongoing work towards “OneGraph” (1G), a unifying logical model for graphs. 1G will enable developers to choose their higher-level graph abstractions and query language(s) independent of a particular graph model (RDF or LPG), and thus they do not have to worry that this choice will later limit their access to other available tooling (ETL, visualization, etc.).",t-c9b1eee4,261519
Reasoning for the Answer: Who is the Greatest Formula 1 Driver of all Time?,Peter Crocker,/Transcripts/Connected Data World 2021/Presentations/Peter Crocker - Reasoning for the Answer_ Who is the Greatest Formula 1 Driver of all Time_ _ CDW21.srt,Connected Data World 2021,03/12/2021,Presentation,Semantic Technology,https://www.youtube.com/watch?v=YLJv87usKss,,https://2021.connecteddataworld.com/talks/reasoning-for-the-answer-who-is-the-greatest-formula-1-driver-of-all-time/,"RDFox, the high-performance knowledge graph and semantic reasoner, is used to answer business questions by manipulating and enriching data, extracting insights.

At the highest level, questions often take the form: ‘what is the best _?’. Today we ask a question appropriate for its unmatched speed, finding like for like as the fastest out there. Who is the greatest Formula 1 driver of all time?

Affected by so many variables, how can you compare Hamilton to Schumacher to Lauda when they raced decades apart? With half a century of race data, RDFox gives the answer.

Designed around a highly optimised in-memory approach, it affords query and loading times that are orders of magnitudes faster than alternative triplestores. RDFox is developed by Oxford Semantic Technologies—an Oxford University spin-out founded by leading academics and backed by decades of cutting-edge research in semantic web technologies, recognised with a Lovelace Medal.",t-561733aa,261394
